GPS-Reading took: 0.000000 [s] 	 Scanning took 4.539000 [s] 	 Evaluation took 0.057000 [s] 	 Writing to file took: 0.053000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.592000 [s] 	 Evaluation took 0.116000 [s] 	 Writing to file took: 0.040000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.543000 [s] 	 Evaluation took 0.096000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.554000 [s] 	 Evaluation took 0.099000 [s] 	 Writing to file took: 0.050000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.550000 [s] 	 Evaluation took 0.091000 [s] 	 Writing to file took: 0.047000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.564000 [s] 	 Evaluation took 0.952000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.624000 [s] 	 Evaluation took 0.120000 [s] 	 Writing to file took: 0.036000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.546000 [s] 	 Evaluation took 0.098000 [s] 	 Writing to file took: 0.043000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.559000 [s] 	 Evaluation took 0.130000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.622000 [s] 	 Evaluation took 0.051000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.608000 [s] 	 Evaluation took 0.081000 [s] 	 Writing to file took: 0.036000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.583000 [s] 	 Evaluation took 0.072000 [s] 	 Writing to file took: 0.043000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.583000 [s] 	 Evaluation took 0.050000 [s] 	 Writing to file took: 0.013000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.533000 [s] 	 Evaluation took 0.106000 [s] 	 Writing to file took: 0.050000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.544000 [s] 	 Evaluation took 0.097000 [s] 	 Writing to file took: 0.036000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.568000 [s] 	 Evaluation took 0.110000 [s] 	 Writing to file took: 0.047000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.543000 [s] 	 Evaluation took 0.109000 [s] 	 Writing to file took: 0.053000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.539000 [s] 	 Evaluation took 0.104000 [s] 	 Writing to file took: 0.043000 [s]
